area,bedrooms,bathrooms,stories,parking,price
1291,3,1,2,0,583591
2764,1,3,2,0,1094697
1263,2,1,1,1,482072
2735,1,2,2,2,1020121
879,3,1,2,2,601553
992,5,3,2,0,716329
3612,3,2,1,0,1257386
1680,2,2,1,2,636883
2562,4,3,2,0,1112320
564,1,3,1,2,366726
3068,5,3,2,2,1392020
1867,4,1,2,2,887522
1652,3,1,1,2,701358
2527,5,1,2,1,1065464
3195,4,3,1,2,1233192
1995,5,3,1,0,964968
3634,2,1,1,0,1169977
1662,2,2,2,0,744099
2022,1,1,2,0,756057
3140,1,2,2,1,1134872
891,2,3,2,2,461208
2198,5,3,2,2,1061901
918,2,1,2,0,425934
2836,1,1,2,0,975940
878,2,3,1,0,499825
2296,2,1,2,2,863120
2778,5,3,2,1,1204600
3565,4,3,2,1,1448496
2588,1,2,1,1,864925
3599,5,1,1,1,1357366
2682,2,3,1,0,1014891
700,2,1,2,2,454986
2363,4,2,1,0,940461
1279,1,2,1,1,618184
3477,1,1,2,0,1095566
3604,3,1,2,1,1393713
3619,1,3,2,2,1355679
1002,4,2,1,1,524094
2954,3,2,2,0,1054589
2251,3,2,2,2,991293
1304,2,1,2,1,557329
2646,2,3,2,1,988452
3231,1,1,2,2,1209885
2395,3,1,2,0,878804
3273,2,1,1,2,1125553
2070,4,3,2,0,920580
1460,2,1,1,1,463027
3160,2,2,1,1,1147568
1985,3,2,2,2,829922
3190,3,2,1,1,1242526
1528,5,3,1,2,895463
3789,4,1,1,1,1413286
1002,3,3,2,1,607752
3314,1,1,1,0,1102379
897,4,2,1,2,544079
1370,4,1,1,2,660258
3342,3,1,1,1,1283761
892,4,1,2,0,574362
706,3,3,2,0,502104
1538,2,1,1,2,671403
2381,5,1,2,2,1061245
3439,2,1,2,1,1225947
1984,3,3,1,2,914925
1363,3,3,2,1,600185
3290,2,3,2,0,1262306
3812,1,1,1,2,1315317
1063,1,2,1,0,409865
1520,1,2,2,0,668205
595,3,2,2,1,332634
2423,4,1,2,0,1014547
2257,3,2,2,1,944096
3032,4,2,1,1,1189126
3978,2,2,1,0,1374368
2778,5,1,1,0,1162536
3296,4,2,1,1,1193521
2178,1,2,1,1,848448
3742,3,1,2,0,1322086
1040,2,3,2,1,607772
1559,1,2,1,1,644875
3072,2,3,1,2,1140046
1683,5,2,1,2,860933
2222,3,1,2,2,915571
3814,3,3,2,2,1534513
3657,5,3,2,2,1450077
2319,3,3,1,1,948796
3125,4,3,1,1,1183390
3229,2,2,1,2,1184895
3104,1,2,1,0,1030024
2097,5,3,1,2,993991
3560,4,2,2,0,1442234
3193,1,3,1,1,1091731
1295,1,3,2,0,560523
1551,5,1,2,1,777369
2143,4,3,2,0,953108
1863,1,2,2,1,862489
2481,1,3,2,1,852551
1854,4,1,1,2,868403
2163,3,2,1,1,1015268
2029,1,1,1,2,792654
2538,2,1,2,2,963747
3919,4,3,2,2,1477061
1996,1,1,2,0,784038
3802,5,1,2,0,1507467
2737,2,2,2,1,959615
3796,1,1,2,2,1272785
1908,2,3,1,2,752095
1900,2,3,2,1,672023
1806,3,3,2,2,790332
3180,2,1,1,1,1124271
3175,3,2,2,2,1261515
1472,4,3,1,0,735428
2268,3,1,1,1,964106
1782,5,3,1,1,961071
3930,1,3,2,0,1352736
1209,4,2,1,1,645069
1979,4,3,1,0,922836
1934,5,2,2,2,959307
1148,3,1,1,0,473115
817,1,3,2,0,410330
3796,3,1,2,1,1407078
1757,2,1,1,2,772837
1183,3,1,2,0,622908
1163,4,3,2,2,725615
2498,1,2,1,0,952268
3945,3,3,1,1,1479697
2131,1,1,1,0,734872
1995,1,2,1,0,802435
3804,2,1,2,2,1377212
1636,2,2,1,0,735900
2353,4,3,1,1,971519
2020,5,2,1,1,907986
2989,1,3,2,0,1035829
1063,5,1,2,0,647988
1791,4,2,2,2,958517
3957,1,1,2,2,1280152
3958,1,2,2,1,1397668
3684,5,3,1,2,1435071
2136,3,2,2,0,996675
3499,2,2,2,1,1184867
3652,3,3,2,2,1442615
1198,5,3,1,1,778418
2660,2,3,1,0,1039000
501,3,2,2,2,386437
1141,2,1,1,0,439482
2767,1,2,2,0,1043720
2089,3,2,1,1,924120
1354,2,1,1,1,622938
2259,2,3,2,1,980498
3796,2,2,1,2,1271995
2932,3,1,2,2,1051301
3974,4,3,2,1,1503633
2161,3,3,2,2,934317
1653,5,2,1,2,826589
1576,3,3,1,1,761674
2207,2,3,2,0,947862
3277,1,1,2,2,1118400
2195,3,1,1,2,847734
2233,3,3,2,0,990546
1939,2,1,1,0,717601
2794,1,3,1,0,1003566
1335,1,2,1,1,528876
702,5,1,2,0,547598
3755,3,3,2,1,1370804
622,1,3,1,0,382913
900,1,1,2,0,388361
1266,4,1,2,1,626584
793,4,2,1,1,559446
2827,1,3,1,0,969836
3431,5,2,2,0,1343246
697,1,2,1,0,279036
3529,2,2,2,2,1203520
2430,3,1,1,0,955714
3299,5,2,1,1,1392980
2691,2,1,2,2,984770
1108,5,1,2,1,627476
3772,2,2,2,2,1270985
1647,3,2,2,2,665432
686,3,3,2,1,537136
3897,4,2,1,2,1380399
3011,2,3,1,1,1071103
3920,4,2,2,0,1490171
2294,2,2,1,2,902685
1159,4,2,2,1,678935
3311,3,2,1,2,1253645
3502,5,3,1,1,1407753
2455,4,3,2,0,1009606
2950,2,2,2,0,1053292
1869,2,2,2,2,776247
2486,3,3,1,2,941282
2034,2,1,2,1,755883
646,1,1,2,1,310189
3719,5,1,2,2,1431251
3411,4,3,2,1,1351172
2234,5,3,2,1,1098636
2343,3,1,2,1,977474
988,4,1,1,2,651967
3476,4,2,1,0,1247404
2459,1,3,1,0,876662
2163,3,3,1,1,985278
3098,2,1,2,2,1042113
2885,1,1,2,1,941688
3419,1,3,1,0,1154913
1140,5,2,1,1,789216
2302,5,1,1,0,941873
3020,5,3,2,2,1370191
2469,1,3,2,1,934305
2698,2,2,2,2,982077
1938,4,2,1,1,1016391
3869,5,1,1,1,1485432
2134,2,1,1,1,824010
762,3,1,1,1,470325
2287,5,3,1,1,1083947
2691,4,1,2,2,1214903
2893,3,3,2,2,1267197
1123,3,1,2,0,510320
1516,4,2,2,1,870736
1380,5,2,2,0,728993
2549,1,3,1,2,970812
3444,4,2,2,0,1260624
1827,4,3,1,2,939930
2801,4,3,2,1,1169931
952,3,2,1,0,458125
3608,2,3,1,0,1351825
1683,1,2,1,0,706710
3562,5,1,1,0,1442105
2556,5,1,1,1,1005652
3804,2,2,1,2,1429877
3670,4,2,2,2,1415974
2182,1,2,1,1,902175
3363,5,2,1,2,1400147
2755,5,1,2,0,1159066
1654,4,3,1,1,821626
903,2,3,2,2,530216
2699,1,1,2,1,910724
2601,2,3,1,1,951896
3691,2,1,1,2,1269166
2196,1,3,2,2,928344
1127,1,2,1,1,413268
1086,5,2,2,1,757833
2148,5,2,1,2,1011569
1943,1,1,2,1,756973
1945,3,1,1,2,855158
603,5,3,1,1,602317
753,3,3,2,1,522020
3798,1,3,2,1,1337017
3683,5,1,2,2,1499604
3057,2,3,2,0,1095035
1996,1,2,1,2,699077
598,4,3,2,1,501165
2700,3,2,2,0,1074404
2384,1,1,1,0,911243
3461,1,2,1,1,1185699
2419,5,2,2,2,1205707
1377,5,2,1,0,768872
837,5,1,2,0,548426
3369,4,1,1,2,1348053
3734,5,1,2,2,1458056
1456,1,1,1,0,549360
2204,5,3,2,2,1004381
660,2,1,2,0,292566
2103,5,2,1,1,1003582
3348,4,1,1,2,1339586
897,2,3,2,0,596383
1800,1,3,2,2,709531
1315,1,3,1,2,657687
2027,3,2,1,0,903822
2419,2,1,1,1,866141
1915,3,1,1,0,843904
1658,2,1,1,2,724610
1718,2,2,1,0,752509
900,4,2,1,2,688368
1139,3,3,1,0,656733
3604,4,3,1,1,1299355
3235,2,1,2,1,1171628
959,1,2,1,1,354359
1454,2,2,1,1,638772
969,4,1,2,0,565381
3946,3,1,2,1,1389615
1545,3,3,2,0,692119
3297,4,3,2,2,1322583
2193,3,3,2,2,951041
2585,5,1,2,2,1118914
2777,1,1,1,1,953371
3936,1,3,2,1,1405062
1062,1,3,2,1,497972
2985,3,2,2,2,1239482
2299,3,2,1,2,947788
3854,2,3,2,2,1462424
2574,2,3,1,2,996975
725,1,2,2,0,504685
3848,5,3,2,0,1557763
1297,2,2,1,1,665864
2831,2,2,1,1,1009602
3426,3,2,2,2,1285442
1459,5,1,1,0,725093
2004,1,1,1,0,824849
952,2,3,2,1,519962
3567,5,2,2,0,1378928
1315,5,1,2,1,794545
1158,1,3,1,2,540340
1046,5,3,2,2,712894
1715,5,3,2,1,878985
3620,5,3,1,2,1500441
516,2,3,1,2,447932
3743,1,2,2,0,1312304
1743,5,3,1,0,858933
2705,5,2,2,0,1112114
3024,2,1,1,0,856243
1569,1,3,2,0,603426
3944,3,1,1,1,1379593
3065,2,2,1,1,1111548
2646,1,2,1,0,910259
2268,5,1,1,2,1150443
1560,1,3,2,2,702568
2827,1,3,1,1,961217
3920,1,1,2,1,1343778
3044,3,1,1,1,1147773
801,1,1,1,2,317804
680,3,3,2,1,513440
1106,5,3,1,2,748307
3670,3,3,1,1,1427225
1199,5,1,2,2,620916
1492,5,3,1,1,855003
1639,3,2,2,1,827195
690,2,1,1,2,481384
2800,4,3,1,1,1103696
1480,1,1,1,0,536702
3475,4,2,2,2,1370046
2506,1,2,1,1,930575
1684,1,1,1,2,626968
3827,5,1,1,1,1427330
3894,1,2,1,0,1309058
627,1,1,1,1,286224
2565,3,2,1,1,1042609
2316,4,2,1,0,934321
2258,3,3,1,2,916284
3113,1,1,1,1,1114672
1069,5,1,2,1,769326
1846,3,3,1,0,904913
2395,3,2,2,2,994903
3233,2,1,2,2,1222656
1125,1,3,2,0,483185
3859,5,3,1,0,1543108
3401,3,1,2,1,1226109
2186,3,3,2,0,998625
3509,5,2,2,0,1458873
654,1,3,1,0,459997
3037,2,2,2,2,1129634
1909,3,2,1,0,881651
1284,2,1,2,1,595523
3675,4,3,2,1,1451269
3964,1,2,1,1,1351049
745,4,2,1,0,588400
3747,4,3,2,2,1477503
3610,4,2,2,0,1378946
2000,1,3,2,0,676714
2205,1,1,1,1,769147
3306,5,2,1,0,1335018
1037,2,2,2,2,502987
2390,2,3,2,1,911607
2341,5,3,1,2,999738
1420,5,3,1,2,786767
2955,4,3,2,2,1317558
1024,5,2,1,0,563107
3375,3,1,2,0,1271950
2029,2,1,1,0,802667
3450,5,1,2,0,1477643
535,3,1,2,1,447417
1184,3,3,2,0,682928
519,3,2,1,1,419084
2868,3,2,2,2,1140442
3059,4,2,2,1,1275309
899,3,3,1,0,592135
3201,4,2,2,1,1283824
1471,4,3,2,0,835894
2406,3,2,2,0,1115960
3018,2,1,1,1,1073942
1666,3,3,1,1,779750
1615,3,2,1,2,739894
3925,3,1,1,2,1414187
1333,2,1,2,2,661055
2323,1,1,1,2,831252
3274,1,3,1,2,1181658
2482,4,3,1,1,1057117
1353,4,2,2,2,760352
550,2,1,2,1,324840
1074,5,2,2,2,640892
3761,1,2,1,0,1280683
1648,4,1,2,2,893369
2697,1,2,2,0,944602
2861,2,3,1,1,1031239
3117,2,2,2,2,1260882
3913,5,1,1,1,1491178
2852,5,3,1,2,1292827
2215,2,3,2,1,873051
1181,4,2,1,2,664788
1337,1,2,1,2,631127
1577,3,3,1,0,739638
3550,5,2,1,1,1417160
2991,3,1,1,1,1037870
3160,4,2,1,1,1282351
3540,5,2,2,1,1387705
2811,3,3,1,1,1174285
3624,4,2,1,0,1377319
2095,1,2,1,2,803060
3551,4,2,1,0,1383927
504,5,1,2,1,504963
1626,2,2,2,1,788722
1719,1,1,1,2,723701
1273,3,1,2,0,541037
1376,5,1,1,2,734264
1491,2,1,1,2,669126
3431,4,3,1,0,1292169
3921,2,1,1,2,1277896
546,5,2,2,0,475789
3414,5,1,2,0,1338441
3370,2,2,1,1,1002769
3483,4,1,1,2,1269205
3203,2,3,2,1,1116973
768,5,1,2,2,637733
869,5,1,1,2,637273
1135,3,3,2,1,649428
1629,3,1,1,1,708700
2193,1,2,2,1,850140
2182,5,1,2,0,924683
1156,3,1,2,2,659444
619,2,1,2,0,360351
1330,4,3,1,2,784879
2310,2,1,1,2,916820
1581,4,1,2,0,771005
2474,3,2,1,0,987845
1869,1,1,2,2,722621
1240,2,1,2,1,553851
616,2,1,1,1,373947
2353,2,1,1,1,881210
3338,4,2,1,1,1272048
1650,3,2,2,2,805485
3964,2,3,1,1,1428225
2431,2,1,1,1,954789
1512,1,3,1,1,538079
2164,1,3,1,2,841011
1581,3,1,2,0,658054
1133,3,2,2,1,579018
1012,5,2,2,2,711587
3349,1,1,2,2,1082896
1619,5,1,2,1,827356
1641,4,2,2,0,793821
1059,5,1,2,0,585202
987,2,1,1,0,454003
3808,5,1,2,2,1454322
1396,3,2,2,1,793674
3843,4,3,2,1,1557998
1712,2,3,2,2,776962
1203,5,1,1,1,654312
1970,4,2,2,1,931202
1080,4,1,2,0,632373
3337,2,2,1,1,1208826
3408,5,1,2,1,1306642
2794,4,2,2,2,1157720
3647,4,2,2,2,1428000
653,1,3,2,0,390413
2179,4,1,2,2,969368
1496,1,3,2,0,665341
3657,5,3,2,0,1544186
3244,5,2,1,1,1368828
3856,5,1,1,0,1486315
1743,3,2,2,1,725014
1592,5,2,1,0,866917
3618,4,2,2,2,1456340
1508,2,1,1,2,619610
2641,1,1,2,2,943786
2273,3,2,1,0,915179
1457,5,1,2,0,735208
3559,5,2,1,1,1325298
952,2,1,1,1,394772
1727,2,1,2,1,657774
3459,3,3,2,1,1234308
2765,1,2,1,0,903836
3021,5,3,1,0,1323359
2979,3,3,2,1,1212995
2888,4,2,1,0,1097850
1050,4,2,2,0,580588
2135,3,1,1,0,901959
1812,5,2,1,0,933823
3825,3,3,2,1,1445994
2257,5,3,2,1,1130839
856,2,2,2,0,418504
2570,3,3,1,2,1072367
2285,5,1,1,1,926782
3069,3,3,1,1,1177483
2281,3,1,2,2,935703
3671,5,3,1,1,1392047
3349,5,1,1,2,1364355
3751,1,1,2,2,1313310
3794,3,2,1,0,1418755
3309,4,1,1,1,1374412
2989,3,2,2,2,1197535
2131,3,3,2,0,916095
3316,5,3,2,1,1309695
1515,3,3,2,0,754097
1848,3,1,2,0,802371
1015,4,3,2,2,596699
3587,5,3,2,1,1459095
3339,3,2,2,0,1252256
835,2,2,2,2,506976
2282,1,3,1,2,917412
2805,4,3,2,0,1144672
996,3,1,2,0,528868
1395,2,1,1,2,627186
2707,3,3,2,0,1083011
1351,3,2,1,0,614226
2187,5,3,1,1,1066728
2431,5,1,2,2,1070414
3237,5,2,1,0,1241245
2927,2,2,2,2,1176752
2068,3,1,2,1,801085
1456,1,3,1,2,622074
3238,4,3,1,2,1327488
3998,5,3,1,2,1612160
2136,5,1,2,1,984280
1791,3,2,2,1,655193
1940,3,1,1,2,776874
1691,2,3,2,2,782114
1566,2,1,2,1,649345
784,5,2,1,0,590783
2944,3,1,1,1,1149274
511,1,3,1,2,368634
2130,4,2,1,0,882549
3873,3,1,1,0,1334974
3824,3,1,1,0,1428772
3046,2,2,1,1,1099844
1253,4,2,1,1,666129
2582,5,3,1,1,1175093
3274,3,2,1,1,1289061
3396,5,3,2,2,1383736
589,3,1,2,0,371894
1275,5,3,1,2,692301
3152,4,1,2,1,1215781
3517,2,2,2,1,1298479
2125,4,1,2,2,919287
3569,1,2,2,0,1308690
917,2,1,2,0,450910
614,4,1,2,1,464086
1116,1,1,1,1,432193
3767,3,1,1,1,1277107
1325,3,3,2,1,687983
2149,5,1,2,0,982619
2016,2,3,1,2,838896
3646,3,2,2,0,1355355
912,2,2,2,2,470066
3947,3,3,2,1,1416863
3991,5,2,2,1,1556989
1228,4,2,2,2,709430
3848,5,1,1,1,1460965
3568,1,1,1,0,1180575
3308,3,1,2,1,1266232
1175,1,3,1,1,566141
3965,1,3,2,1,1427368
2392,2,2,2,1,982866
3004,3,1,2,0,1146054
3467,1,3,2,2,1267916
2739,4,3,2,1,1263848
3286,1,1,2,1,1159980
1622,4,3,2,0,774341
2071,2,1,2,0,698147
1477,1,2,2,0,581042
1508,5,2,1,1,828637
2643,2,2,2,2,1070847
2187,4,1,1,0,843576
3210,2,3,1,0,1209471
3761,1,2,2,0,1335034
536,3,2,1,2,451236
3940,3,2,2,1,1467786
2048,4,3,2,1,952759
2826,4,3,2,1,1169799
2764,3,1,2,0,1088477
3414,4,2,1,1,1348367
1372,2,3,1,0,605243
2321,5,1,2,2,1173405
1796,5,2,1,2,823310
2609,2,3,1,1,996093
1095,5,3,1,0,649930
2403,1,1,2,0,860108
1228,2,2,1,1,465951
1865,4,2,1,2,932963
896,2,3,1,2,559072
1198,3,2,2,2,652767
3590,4,1,1,2,1341483
2724,3,3,1,2,1143015
2135,4,3,2,1,1001935
895,5,1,1,1,631100
2992,2,3,2,1,1136477
3804,1,2,2,2,1312126
575,4,2,2,2,556386
764,4,3,2,1,605883
3002,3,1,2,1,1126899
2319,5,1,2,2,1064091
1217,3,2,1,0,604340
3282,3,1,2,1,1242960
3955,5,3,1,2,1639972
1350,1,3,1,2,577506
1890,3,2,2,1,799772
643,3,2,1,0,436589
1384,4,2,1,2,698372
3640,5,1,1,1,1361454
3670,2,3,2,2,1410677
895,1,3,1,2,444139
3596,1,3,1,2,1175396
3495,5,2,2,2,1470870
3438,4,3,1,0,1319492
1992,4,1,1,1,891491
3722,5,1,1,1,1485772
1667,4,3,2,1,854582
3116,1,2,1,1,978026
1562,1,3,1,1,545416
2656,2,1,2,0,933179
1565,5,1,2,2,816657
1709,3,1,2,2,822707
3482,3,3,1,1,1334166
2945,2,1,2,2,1214363
3794,2,2,2,2,1293628
1133,4,3,2,2,705964
1656,2,3,1,1,699526
3734,2,1,2,1,1316931
1738,3,1,2,0,828983
1232,4,2,2,1,775345
734,2,3,2,0,452923
3205,2,1,2,1,1189575
1250,4,2,1,2,695777
3135,5,1,1,0,1186735
3580,4,3,2,0,1404716
3645,3,1,2,0,1288244
1453,5,3,2,1,827761
3039,1,1,1,0,969095
3460,4,3,1,1,1370757
3824,3,2,1,0,1392482
3801,5,3,1,1,1550512
2042,4,2,2,0,928092
1697,2,3,2,2,850830
2176,4,2,2,2,1092410
1691,1,1,2,0,607073
2717,4,3,1,1,1188603
1916,5,1,2,1,1015530
3493,5,2,1,1,1442706
3342,4,3,1,2,1378466
3181,5,3,2,2,1273207
1717,2,1,1,2,667196
2040,4,3,1,1,916394
2576,2,3,2,1,1087159
3736,2,1,1,1,1249269
1945,3,3,1,0,839231
2886,4,1,2,0,1177813
2019,5,1,1,0,866915
1888,2,1,1,2,760354
2356,3,1,2,2,964238
1865,4,1,1,1,868355
999,4,2,2,0,632642
2180,1,2,1,1,830364
1010,1,1,1,0,413039
3898,2,2,2,0,1285602
716,1,2,2,1,386783
1824,2,3,1,1,774965
1655,5,1,2,0,854827
2327,2,2,1,0,856953
3641,1,3,2,2,1304389
3823,5,3,1,1,1525568
3986,1,1,1,1,1275172
2310,2,1,1,1,800336
2992,3,3,1,1,1191727
3423,4,1,1,0,1327288
1705,1,1,2,2,630254
2714,2,3,2,1,1048311
590,5,3,1,0,578477
1213,1,1,1,0,510235
2381,1,2,2,0,875871
538,4,1,2,0,452110
3697,2,2,2,0,1335702
672,3,3,2,1,532151
1152,5,2,2,1,657029
1253,2,3,1,2,711760
1743,5,1,1,1,851600
1581,1,1,2,0,630791
2183,4,3,2,2,976809
3023,4,3,2,0,1227604
955,3,3,2,0,585349
1328,4,1,2,1,593179
1394,1,1,2,0,493142
1884,3,2,2,1,793935
2458,2,3,2,0,903468
3572,4,2,2,2,1406904
2934,3,1,1,0,1076495
2496,1,2,2,1,984985
2895,5,2,2,0,1162466
689,5,1,1,1,533437
1004,1,1,1,1,372195
1714,1,3,1,2,618342
2031,5,2,2,1,1003690
3940,3,1,2,2,1465529
3980,5,1,2,2,1571605
1323,1,2,2,0,481075
1428,4,1,1,2,712579
1433,2,3,2,1,704768
1640,4,3,2,1,884608
633,4,2,1,2,531314
2605,1,3,2,0,1009756
1184,5,1,2,2,758568
3219,3,1,2,2,1220943
2720,4,1,2,1,1125926
2352,5,1,1,0,1055583
1314,3,2,1,0,643706
1672,4,3,1,0,871549
579,3,3,1,0,477424
3433,5,1,2,1,1333277
3784,2,2,2,0,1269900
702,5,1,2,0,531565
3311,1,1,1,0,1034243
1752,3,2,1,1,774756
2199,2,2,1,1,854329
1750,3,1,2,0,810045
2182,3,3,2,1,974853
2055,4,1,1,2,945396
3973,1,3,1,0,1327420
2594,3,3,2,1,1149683
1756,5,2,2,0,921482
3876,5,2,2,0,1534171
2049,4,1,1,1,789372
1666,1,3,1,2,748736
3986,1,3,1,0,1444466
1896,5,1,1,2,899364
3830,2,1,2,1,1335587
3203,4,1,2,0,1205066
970,4,2,2,1,524413
3518,5,1,1,1,1342295
1535,5,1,2,1,878470
1853,2,3,2,1,854850
3283,2,1,2,0,1116264
3331,1,3,2,2,1180380
1467,4,3,2,2,906854
857,4,2,1,0,486092
3519,5,1,2,0,1339928
3979,1,1,2,2,1322220
1167,4,3,1,2,622199
872,1,2,1,0,364724
1531,1,2,2,1,598184
1645,5,1,2,0,768387
1871,1,3,2,2,837698
3223,2,1,2,1,1093558
589,2,1,1,2,349603
3245,3,1,2,1,1164649
3887,5,1,1,2,1485601
3749,3,3,2,1,1373526
1039,2,2,2,0,515494
3279,3,1,2,0,1219773
1368,5,1,1,1,795509
540,5,1,2,1,467570
1239,1,1,2,0,572591
2446,4,2,1,0,973451
3049,1,2,2,1,1067799
3506,5,2,1,1,1485036
3716,2,2,2,0,1459947
1724,2,1,1,2,781496
1428,1,3,1,0,577220
2536,5,2,1,1,1131543
3008,2,2,2,1,1151531
3279,5,1,1,2,1330971
3299,2,1,1,0,1089307
1424,5,1,2,1,773929
3456,3,1,1,0,1211507
2081,5,3,2,1,970879
3824,5,3,2,2,1541631
889,1,2,1,0,412466
2117,3,3,1,0,945169
3430,4,2,2,2,1346303
755,1,2,1,1,367569
1208,4,3,1,1,727596
2338,2,2,1,0,884943
2444,4,1,1,2,1032277
2997,5,2,2,0,1252998
509,4,1,2,0,432836
3371,1,3,1,1,1132348
1297,1,3,2,1,590216
3813,4,2,1,1,1510293
3822,1,1,1,1,1270049
1376,1,2,1,1,516112
1528,4,3,1,2,872226
3690,3,2,2,0,1393068
1515,3,2,1,2,752881
2324,2,1,2,0,904226
873,1,3,1,1,380581
3636,4,2,2,2,1453190
2693,1,1,2,0,997131
723,5,2,2,1,557889
1762,1,1,2,1,567169
2724,1,1,1,2,965478
2302,3,2,2,2,972237
1352,4,3,1,2,668219
3853,1,3,2,1,1381168
562,3,1,2,0,415114
1740,2,3,2,0,678693
3374,3,1,1,2,1336665
3342,3,3,2,0,1320156
1188,3,2,1,1,506886
1984,1,3,1,0,796143
2133,1,1,1,1,794391
2652,2,1,2,2,1066350
3670,5,3,2,0,1449806
1010,5,2,2,1,709665
884,5,1,2,2,603367
904,2,1,2,2,443375
3370,5,1,2,2,1317749
1017,5,1,2,2,559942
975,3,1,1,0,519521
2500,1,2,2,1,901347
3256,1,3,1,0,1000294
2168,3,2,1,1,899167
2393,3,2,2,2,1055792
3318,3,1,2,0,1150050
1960,1,2,1,2,712370
3594,5,1,1,1,1415246
3544,3,2,2,2,1215256
3224,2,1,1,0,1090515
1213,3,1,1,0,581230
582,4,2,1,1,441544
1668,3,2,1,1,680499
3656,1,3,2,0,1214295
3649,3,3,2,0,1294094
3004,4,3,1,0,1179548
2401,2,2,1,0,953133
2548,5,2,1,1,1227494
550,3,1,2,0,386809
1184,4,3,2,1,738612
1216,4,1,1,0,567758
1969,2,1,1,0,636117
948,1,1,1,2,506980
1380,3,1,2,2,634245
987,4,3,1,0,642035
2323,2,1,1,1,869823
2581,5,2,1,0,1154029
3919,4,2,1,2,1533404
2642,2,2,1,0,986486
3643,1,3,2,2,1322289
2074,1,1,2,0,802829
2701,4,3,2,0,1119815
749,4,1,1,1,567480
1173,3,3,2,2,626507
937,2,3,1,2,524928
2665,4,1,2,2,1130958
1270,3,3,2,1,594545
3877,3,1,1,0,1432192
767,4,2,1,1,548895
2484,1,2,1,0,1040248
1577,2,2,2,1,792134
735,2,3,1,1,444954
888,1,2,2,2,535679
3537,4,1,2,1,1388466
1262,2,2,2,0,590155
2348,4,2,1,1,916431
2948,4,3,1,1,1138223
1123,3,1,1,0,537118
3314,1,3,2,2,1179431
3874,4,3,2,0,1503459
3466,5,1,1,0,1408418
3778,1,3,2,0,1356647
1752,2,1,2,1,675785
3400,3,2,2,1,1331247
1077,2,1,1,0,427397
2622,2,1,2,0,899487
934,1,1,2,2,449281
2650,2,3,1,1,979274
